Prefix for use in doc-code	Doctype for use in doc-code	Serial number for use in doc-code	Doctype for doctype headings on page	Doctype sorting	Service	Industry	Part number (for RU only)	Chapter number (for RU only)	Subtype (for RU: part title)	Document title (for RU: chapter title)	Edition	Amended	History	L-DNV type	L-DNV code	Program	WP or Project
DNVGL	RU	1921	RU-INV	3	Ship classification	Maritime	3	2	Structures, equipment	Design load principle	2015-07						
DNVGL	RU	1922	RU-INV	3	Ship classification	Maritime	3	3	Structures, equipment	Hull girder strength	2015-07						
DNVGL	RU	1923	RU-INV	3	Ship classification	Maritime	3	4	Structures, equipment	Hull scantlings	2015-07						
DNVGL	RU	1924	RU-INV	3	Ship classification	Maritime	3	5	Structures, equipment	Others structures	2015-07						
DNVGL	RU	1925	RU-INV	3	Ship classification	Maritime	3	6	Structures, equipment	Hull outfitting	2015-07						
DNVGL	RU	1926	RU-INV	3	Ship classification	Maritime	4	1	Systems and components	Machinery and systems	2015-07						
DNVGL	RU	1927	RU-INV	3	Ship classification	Maritime	4	6	Systems and components	Pipes, valves, fittings and punps	2015-07						
DNVGL	RU	1928	RU-INV	3	Ship classification	Maritime	4	7	Systems and components	Pressure vessels and heat exchanges, boilers and thermal oil heaters	2015-07						
DNVGL	RU	1929	RU-INV	3	Ship classification	Maritime	4	8	Systems and components	Electrical installations	2015-07						
DNVGL	RU	1930	RU-INV	3	Ship classification	Maritime	4	9	Systems and components	Control, monitoring, alarm and safety systems	2015-07						
DNVGL	RU	1931	RU-INV	3	Ship classification	Maritime	4	10	Systems and components	Steering gear	2015-07						
DNVGL	RU	1932	RU-INV	3	Ship classification	Maritime	4	11	Systems and components	Fire safety	2015-07						
DNVGL	RU	1933	RU-INV	3	Ship classification	Maritime	5	1	Ship types	Cargo vessels	2015-07						
DNVGL	RU	1934	RU-INV	3	Ship classification	Maritime	5	2	Ship types	Tankers	2015-07						
DNVGL	RU	1935	RU-INV	3	Ship classification	Maritime	5	3	Ship types	Container vessels	2015-07						
DNVGL	RU	1936	RU-INV	3	Ship classification	Maritime	5	4	Ship types	RoRo vessels	2015-07						
DNVGL	RU	1937	RU-INV	3	Ship classification	Maritime	5	5	Ship types	Passenger vessels	2015-07						
DNVGL	RU	1938	RU-INV	3	Ship classification	Maritime	5	6	Ship types	Tugs and pushers	2015-07						
DNVGL	RU	1939	RU-INV	3	Ship classification	Maritime	5	7	Ship types	Pontoons	2015-07						
DNVGL	RU	1940	RU-INV	3	Ship classification	Maritime	5	8	Ship types	Dredgers	2015-07						
DNVGL	RU	1941	RU-INV	3	Ship classification	Maritime	5	9	Ship types	Launches	2015-07						
DNVGL	RU	1942	RU-INV	3	Ship classification	Maritime	6	1	Additional class notations	Transport of dangerous goods	2015-07						
DNVGL	RU	1943	RU-INV	3	Ship classification	Maritime	6	2	Additional class notations	Ship strength	2015-07						
DNVGL	RU	1944	RU-INV	3	Ship classification	Maritime	6	3	Additional class notations	Cargo operations	2015-07						
DNVGL	RU	1945	RU-INV	3	Ship classification	Maritime	6	4	Additional class notations	Stability	2015-07						
DNVGL	RU	1946	RU-INV	3	Ship classification	Maritime	6	5	Additional class notations	Additional fire rules for passenger vessels	2015-07						
DNVGL	RU	1947	RU-INV	3	Ship classification	Maritime	7	2	Fleet in Service	Survey requirements	2015-07						
DNVGL	RU	1202	RU-MOU	8	Offshore classification	Maritime				Rules for classification of offshore drilling and support units	2015-07			"OSS;#5"	OSS-101	Offshore	"Offshore;#11"
DNVGL	RU	1203	RU-MOU	8	Offshore classification	Maritime				Rules for classification of floating production and storage units	2015-07			"OSS;#5"	OSS-102	Offshore	"Offshore;#11"
DNVGL	RU	1204	RU-MOU	8	Offshore classification	Maritime				Rules for classification of LNG/LPG floating production and storage units or installations	2015-07			"OSS;#5"	OSS-103	Offshore	"Offshore;#11"
DNVGL	RU	1205	RU-MOU	8	Offshore classification	Maritime				Rules for classification of self-elevating units	2015-07			"OSS;#5"	OSS-104	Offshore	"Offshore;#11"
DNVGL	RU	1987	RU-NAVAL	6	Ship classification	Maritime	1		Classification and surveys	Classification and surveys	2015-07						
DNVGL	RU	1988	RU-NAVAL	6	Ship classification	Maritime	2	1	Materials and welding	Materials - general	2015-07						
DNVGL	RU	1989	RU-NAVAL	6	Ship classification	Maritime	2	2	Materials and welding	Metallic materials	2015-07						
DNVGL	RU	1990	RU-NAVAL	6	Ship classification	Maritime	2	3	Materials and welding	Non- metallic materials	2015-07						
DNVGL	RU	1991	RU-NAVAL	6	Ship classification	Maritime	2	4	Materials and welding	Fabrication and testing	2015-07						
DNVGL	RU	1992	RU-NAVAL	6	Ship classification	Maritime	2	5	Materials and welding	Special Materials for naval ships	2015-07						
DNVGL	RU	1993	RU-NAVAL	6	Ship classification	Maritime	3	1	Surface ships	Hull structures and ship equipment	2015-07						
DNVGL	RU	1994	RU-NAVAL	6	Ship classification	Maritime	3	2	Surface ships	Propulsion plants	2015-07						
DNVGL	RU	1995	RU-NAVAL	6	Ship classification	Maritime	3	3	Surface ships	Electrical installations	2015-07						
DNVGL	RU	1996	RU-NAVAL	6	Ship classification	Maritime	3	4	Surface ships	Automation	2015-07						
DNVGL	RU	1997	RU-NAVAL	6	Ship classification	Maritime	3	5	Surface ships	Ship operation installations and auxilliary systems	2015-07						
DNVGL	RU	1998	RU-NAVAL	6	Ship classification	Maritime	4	1	Sub-surface ships	Submarines	2015-07						
DNVGL	RU	1999	RU-NAVAL	6	Ship classification	Maritime	4	2	Sub-surface ships	Remotely operated underwater vehicles	2015-07						
DNVGL	RU	2000	RU-NAVAL	6	Ship classification	Maritime	4	3	Sub-surface ships	Guidelines for air independent power systems for underwater use	2015-07						
DNVGL	RU	2067	RU-SHIP	1	Ship classification	Maritime	1	1	General regulations	General regulations							
DNVGL	RU	2068	RU-SHIP	1	Ship classification	Maritime	1	2	General regulations	Class notations							
DNVGL	RU	2069	RU-SHIP	1	Ship classification	Maritime	1	3	General regulations	Documentation and certification types							
DNVGL	RU	2070	RU-SHIP	1	Ship classification	Maritime	2	1	Materials and welding	Materials - general							
DNVGL	RU	2071	RU-SHIP	1	Ship classification	Maritime	2	2	Materials and welding	Metallic materials							
DNVGL	RU	2072	RU-SHIP	1	Ship classification	Maritime	2	3	Materials and welding	Non- metallic materials							
DNVGL	RU	2073	RU-SHIP	1	Ship classification	Maritime	2	4	Materials and welding	Fabrication and testing							
DNVGL	RU	2074	RU-SHIP	1	Ship classification	Maritime	3	1	Hull 	General principles							
DNVGL	RU	2075	RU-SHIP	1	Ship classification	Maritime	3	2	Hull 	General arrangement design							
DNVGL	RU	2076	RU-SHIP	1	Ship classification	Maritime	3	3	Hull 	Structural design principles							
DNVGL	RU	2077	RU-SHIP	1	Ship classification	Maritime	3	4	Hull 	Loads							
DNVGL	RU	2078	RU-SHIP	1	Ship classification	Maritime	3	5	Hull 	Longitudinal strength							
DNVGL	RU	2079	RU-SHIP	1	Ship classification	Maritime	3	6	Hull 	Local scantlings							
DNVGL	RU	2080	RU-SHIP	1	Ship classification	Maritime	3	7	Hull 	Direct strength analysis							
DNVGL	RU	2081	RU-SHIP	1	Ship classification	Maritime	3	8	Hull 	Buckling							
DNVGL	RU	2082	RU-SHIP	1	Ship classification	Maritime	3	9	Hull 	Fatigue							
DNVGL	RU	2083	RU-SHIP	1	Ship classification	Maritime	3	10	Hull 	Special requirements							
DNVGL	RU	2084	RU-SHIP	1	Ship classification	Maritime	3	11	Hull 	Hull Equipment, superstructure and other Structures							
DNVGL	RU	2085	RU-SHIP	1	Ship classification	Maritime	3	12	Hull 	Openings and closing appliances							
DNVGL	RU	2086	RU-SHIP	1	Ship classification	Maritime	3	13	Hull 	Welding                   							
DNVGL	RU	2087	RU-SHIP	1	Ship classification	Maritime	3	14	Hull 	Rudder and steering							
DNVGL	RU	2088	RU-SHIP	1	Ship classification	Maritime	3	15	Hull 	Stability and load line							
DNVGL	RU	2089	RU-SHIP	1	Ship classification	Maritime	4	1	Systems and components	Machinery systems - general							
DNVGL	RU	2090	RU-SHIP	1	Ship classification	Maritime	4	2	Systems and components	Rotating machinery - general							
DNVGL	RU	2091	RU-SHIP	1	Ship classification	Maritime	4	3	Systems and components	Rotating machinery - drivers							
DNVGL	RU	2092	RU-SHIP	1	Ship classification	Maritime	4	4	Systems and components	Rotating machinery - power transmission							
DNVGL	RU	2093	RU-SHIP	1	Ship classification	Maritime	4	5	Systems and components	Rotating machinery - driven units							
DNVGL	RU	2094	RU-SHIP	1	Ship classification	Maritime	4	6	Systems and components	Piping systems							
DNVGL	RU	2095	RU-SHIP	1	Ship classification	Maritime	4	7	Systems and components	Pressure vessels							
DNVGL	RU	2096	RU-SHIP	1	Ship classification	Maritime	4	8	Systems and components	Electrical installations							
DNVGL	RU	2097	RU-SHIP	1	Ship classification	Maritime	4	9	Systems and components	Control and monitoring systems							
DNVGL	RU	2098	RU-SHIP	1	Ship classification	Maritime	4	10	Systems and components	Steering gear_							
DNVGL	RU	2099	RU-SHIP	1	Ship classification	Maritime	4	11	Systems and components	Fire safety							
DNVGL	RU	2100	RU-SHIP	1	Ship classification	Maritime	5	1	Ship types	Dry cargo ships							
DNVGL	RU	2101	RU-SHIP	1	Ship classification	Maritime	5	2	Ship types	Container ships							
DNVGL	RU	2102	RU-SHIP	1	Ship classification	Maritime	5	3	Ship types	RO/RO ships							
DNVGL	RU	2103	RU-SHIP	1	Ship classification	Maritime	5	4	Ship types	Passenger ships							
DNVGL	RU	2104	RU-SHIP	1	Ship classification	Maritime	5	5	Ship types	Oil tankers							
DNVGL	RU	2105	RU-SHIP	1	Ship classification	Maritime	5	6	Ship types	Chemical tankers							
DNVGL	RU	2106	RU-SHIP	1	Ship classification	Maritime	5	7	Ship types	Liquefied gas tankers							
DNVGL	RU	2107	RU-SHIP	1	Ship classification	Maritime	5	8	Ship types	Compressed gas tankers							
DNVGL	RU	2108	RU-SHIP	1	Ship classification	Maritime	5	9	Ship types	Offshore service vessels							
DNVGL	RU	2109	RU-SHIP	1	Ship classification	Maritime	5	10	Ship types	Vessels for special operations							
DNVGL	RU	2110	RU-SHIP	1	Ship classification	Maritime	5	11	Ship types	Non-self propelled vessels							
DNVGL	RU	2111	RU-SHIP	1	Ship classification	Maritime	5	12	Ship types	Fishing vessels							
DNVGL	RU	2112	RU-SHIP	1	Ship classification	Maritime	5	13	Ship types	Naval vessels							
DNVGL	RU	2114	RU-SHIP	1	Ship classification	Maritime	6	1	Additional class notations	Ship strength							
DNVGL	RU	2125	RU-SHIP	1	Ship classification	Maritime	6	2	Additional class notations	Propulsion, power generation and auxiliary systems							
DNVGL	RU	2136	RU-SHIP	1	Ship classification	Maritime	6	3	Additional class notations	Navigation and manoeuvring							
DNVGL	RU	2137	RU-SHIP	1	Ship classification	Maritime	6	4	Additional Class Notations	Cargo operations							
DNVGL	RU	2150	RU-SHIP	1	Ship classification	Maritime	6	5	Additional Class Notations	Equipment and design features							
DNVGL	RU	2164	RU-SHIP	1	Ship classification	Maritime	6	6	Additional Class Notations	Cold climate							
DNVGL	RU	2169	RU-SHIP	1	Ship classification	Maritime	6	7	Additional Class Notations	Environmental protection and pollution control							
DNVGL	RU	2177	RU-SHIP	1	Ship classification	Maritime	6	8	Additional Class Notations	Living and working conditions							
DNVGL	RU	2180	RU-SHIP	1	Ship classification	Maritime	6	9	Additional Class Notations	Survey arrangements							
DNVGL	RU	2181	RU-SHIP	1	Ship classification	Maritime	6	9	Additional class notations	Survey arrangements							
DNVGL	RU	2182	RU-SHIP	1	Ship classification	Maritime	6	9	Additional class notations	Survey arrangements							
DNVGL	RU	2187	RU-SHIP	1	Ship classification	Maritime	6	10	Additional Class Notations	Naval 							
DNVGL	RU	2188	RU-SHIP	1	Ship classification	Maritime	7	1	Fleet in service	Survey requirements							
DNVGL	RU	2189	RU-SHIP	1	Ship classification	Maritime	7	2	Fleet in service	Retroactive requirements							
DNVGL	RU	2151	RU-SHIP	1	Ship classification	Maritime	7	5	Additional class notations	Equipment and design features							
DNVGL	RU	1949	RU-UWT	5	Ship classification	Maritime	1	1	General regulations	General regulations	2015-07						
DNVGL	RU	1950	RU-UWT	5	Ship classification	Maritime	1	2	General regulations	Class notations	2015-07						
DNVGL	RU	1951	RU-UWT	5	Ship classification	Maritime	1	3	General regulations	Documentation and certification types	2015-07						
DNVGL	RU	1952	RU-UWT	5	Ship classification	Maritime	2	1	Materials and welding	General Requirements for Materials	2015-07						
DNVGL	RU	1953	RU-UWT	5	Ship classification	Maritime	2	2	Materials and welding	Metallic materials	2015-07						
DNVGL	RU	1954	RU-UWT	5	Ship classification	Maritime	2	3	Materials and welding	Fabrication and testing of ships	2015-07						
DNVGL	RU	1955	RU-UWT	5	Ship classification	Maritime	2	4	Materials and welding	Non-metallic materials	2015-07						
DNVGL	RU	1956	RU-UWT	5	Ship classification	Maritime	2	5	Materials and welding	Materials for Underwater applications	2015-07						
DNVGL	RU	1957	RU-UWT	5	Ship classification	Maritime	3	1	Pressure hull and structures	General principles	2015-07						
DNVGL	RU	1958	RU-UWT	5	Ship classification	Maritime	3	2	Pressure hull and structures	General arrangement design	2015-07						
DNVGL	RU	1959	RU-UWT	5	Ship classification	Maritime	3	3	Pressure hull and structures	Design principles	2015-07						
DNVGL	RU	1960	RU-UWT	5	Ship classification	Maritime	3	4	Pressure hull and structures	Design loads	2015-07						
DNVGL	RU	1961	RU-UWT	5	Ship classification	Maritime	3	5	Pressure hull and structures	Pressure hull	2015-07						
DNVGL	RU	1962	RU-UWT	5	Ship classification	Maritime	3	6	Pressure hull and structures	Supporting structure, exostructure and equipment	2015-07						
DNVGL	RU	1963	RU-UWT	5	Ship classification	Maritime	3	7	Pressure hull and structures	Opening and closings	2015-07						
DNVGL	RU	1964	RU-UWT	5	Ship classification	Maritime	3	8	Pressure hull and structures	Rudders and fins	2015-07						
DNVGL	RU	1965	RU-UWT	5	Ship classification	Maritime	3	9	Pressure hull and structures	Stability and buoyancy	2015-07						
DNVGL	RU	1966	RU-UWT	5	Ship classification	Maritime	4	1	Machinery and systems	General	2015-07						
DNVGL	RU	1967	RU-UWT	5	Ship classification	Maritime	4	2	Machinery and systems	Propulsion and manoeuvring equipment	2015-07						
DNVGL	RU	1968	RU-UWT	5	Ship classification	Maritime	4	3	Machinery and systems	Ballasting, control/compensating and trimming systems	2015-07						
DNVGL	RU	1969	RU-UWT	5	Ship classification	Maritime	4	4	Machinery and systems	Life support systems	2015-07						
DNVGL	RU	1970	RU-UWT	5	Ship classification	Maritime	4	5	Machinery and systems	Umbilicals	2015-07						
DNVGL	RU	1971	RU-UWT	5	Ship classification	Maritime	4	6	Machinery and systems	Piping systems, pumps and compressors	2015-07						
DNVGL	RU	1972	RU-UWT	5	Ship classification	Maritime	4	7	Machinery and systems	Vessels and apparatus under pressure	2015-07						
DNVGL	RU	1973	RU-UWT	5	Ship classification	Maritime	4	8	Machinery and systems	Electrical systems	2015-07						
DNVGL	RU	1974	RU-UWT	5	Ship classification	Maritime	4	9	Machinery and systems	Control and monitoring systems	2015-07						
DNVGL	RU	1975	RU-UWT	5	Ship classification	Maritime	4	10	Machinery and systems	Fire safety	2015-07						
DNVGL	RU	1976	RU-UWT	5	Ship classification	Maritime	5	1	Type notations	Diving systems	2015-07						
DNVGL	RU	1977	RU-UWT	5	Ship classification	Maritime	5	2	Type notations	Saturation diving systems	2015-07						
DNVGL	RU	1978	RU-UWT	5	Ship classification	Maritime	5	3	Type notations	Surface oriented diving systems	2015-07						
DNVGL	RU	1979	RU-UWT	5	Ship classification	Maritime	5	4	Type notations	Diving simulators	2015-07						
DNVGL	RU	1980	RU-UWT	5	Ship classification	Maritime	5	5	Type notations	Hyperbaric reception facilities	2015-07						
DNVGL	RU	1981	RU-UWT	5	Ship classification	Maritime	5	6	Type notations	Manned submersibles	2015-07						
DNVGL	RU	1982	RU-UWT	5	Ship classification	Maritime	5	7	Type notations	Remotely operated vehicles	2015-07						
DNVGL	RU	1983	RU-UWT	5	Ship classification	Maritime	5	8	Type notations	Autonomous underwater vehicles	2015-07						
DNVGL	RU	1984	RU-UWT	5	Ship classification	Maritime	5	9	Type notations	Underwater working machines and systems	2015-07						
DNVGL	RU	1985	RU-UWT	5	Ship classification	Maritime	7	1	Systems in Service	Survey requirements	2015-07						
DNVGL	RU	1986	RU-UWT	5	Ship classification	Maritime	7	2	Systems in Service	Spare parts	2015-07						
DNVGL	RU	2001	RU-YACHTS	7	Ship classification	Maritime	1	1	General Regulations	General regulations	2015-07						
DNVGL	RU	2002	RU-YACHTS	7	Ship classification	Maritime	1	2	General Regulations	Class notations	2015-07						
DNVGL	RU	2003	RU-YACHTS	7	Ship classification	Maritime	1	3	General regulations	Documentation and certification types	2015-07						
DNVGL	RU	2004	RU-YACHTS	7	Ship classification	Maritime	2	1	Materials and Welding	Materials - general	2015-07						
DNVGL	RU	2005	RU-YACHTS	7	Ship classification	Maritime	2	2	Materials and Welding	Metallic materials	2015-07						
DNVGL	RU	2006	RU-YACHTS	7	Ship classification	Maritime	2	3	Materials and Welding	Non- metallic materials	2015-07						
DNVGL	RU	2007	RU-YACHTS	7	Ship classification	Maritime	2	4	Materials and Welding	Fabrication and testing	2015-07						
DNVGL	RU	2008	RU-YACHTS	7	Ship classification	Maritime	3	1	Hull	Design Principles	2015-07						
DNVGL	RU	2009	RU-YACHTS	7	Ship classification	Maritime	3	2	Hull	Hull design loads	2015-07						
DNVGL	RU	2013	RU-YACHTS	7	Ship classification	Maritime	3	3	Hull	Hull structural design (Metal)	2015-07						
DNVGL	RU	2014	RU-YACHTS	7	Ship classification	Maritime	3	4	Hull	Hull structural design, fibre composite and sandwich constructions	2015-07						
DNVGL	RU	2015	RU-YACHTS	7	Ship classification	Maritime	3	5	Hull	Hull equipment, supporting structure and appendages	2015-07						
DNVGL	RU	2016	RU-YACHTS	7	Ship classification	Maritime	3	6	Hull	Opening and closing appliances	2015-07						
DNVGL	RU	2017	RU-YACHTS	7	Ship classification	Maritime	3	7	Hull	Rudders and steering	2015-07						
DNVGL	RU	2018	RU-YACHTS	7	Ship classification	Maritime	3	8	Hull	Stability	2015-07						
DNVGL	RU	2019	RU-YACHTS	7	Ship classification	Maritime	3	9	Hull	Direct calculation methods	2015-07						
DNVGL	RU	2020	RU-YACHTS	7	Ship classification	Maritime	4	1	Systems and components	Machinery and systems, general	2015-07						
DNVGL	RU	2021	RU-YACHTS	7	Ship classification	Maritime	4	2	Systems and components	Rotating machinery, general	2015-07						
DNVGL	RU	2022	RU-YACHTS	7	Ship classification	Maritime	4	3	Systems and components	Rotating machinery, drivers	2015-07						
DNVGL	RU	2023	RU-YACHTS	7	Ship classification	Maritime	4	4	Systems and components	Rotating machinery, power transmission	2015-07						
DNVGL	RU	2024	RU-YACHTS	7	Ship classification	Maritime	4	5	Systems and components	Rotating machinery, driven Units	2015-07						
DNVGL	RU	2025	RU-YACHTS	7	Ship classification	Maritime	4	6	Systems and components	Piping systems	2015-07						
DNVGL	RU	2026	RU-YACHTS	7	Ship classification	Maritime	4	7	Systems and components	Pressure vessels	2015-07						
DNVGL	RU	2027	RU-YACHTS	7	Ship classification	Maritime	4	8	Systems and components	Electrical installations	2015-07						
DNVGL	RU	2028	RU-YACHTS	7	Ship classification	Maritime	4	9	Systems and components	Control and monitoring systems	2015-07						
DNVGL	RU	2029	RU-YACHTS	7	Ship classification	Maritime	4	10	Systems and components	Steering gear	2015-07						
DNVGL	RU	2030	RU-YACHTS	7	Ship classification	Maritime	4	11	Systems and components	Fire safety	2015-07						
DNVGL	RU	2031	RU-YACHTS	7	Ship classification	Maritime	5	1	Ship types	Displacement motoryachts	2015-07						
DNVGL	RU	2032	RU-YACHTS	7	Ship classification	Maritime	5	2	Ship types	High speed & multihull motoryachts	2015-07						
DNVGL	RU	2033	RU-YACHTS	7	Ship classification	Maritime	5	3	Ship types	Displacement sailing yachts	2015-07						
DNVGL	RU	2034	RU-YACHTS	7	Ship classification	Maritime	5	4	Ship types	Modern sailing yachts	2015-07						
DNVGL	RU	2035	RU-YACHTS	7	Ship classification	Maritime	5	5	Ship types	Multihull sailing yachts	2015-07						
DNVGL	RU	2036	RU-YACHTS	7	Ship classification	Maritime	5	6	Ship types	Passenger yachts	2015-07						
DNVGL	RU	2037	RU-YACHTS	7	Ship classification	Maritime	5	7	Ship types	Motor sailing ship	2015-07						
DNVGL	RU	2039	RU-YACHTS	7	Ship classification	Maritime	6	1	Additional Class Notations	Ship strength	2015-07						
DNVGL	RU	2040	RU-YACHTS	7	Ship classification	Maritime	6	2	Additional Class Notations	Propulsion, power generation and auxiliary systems	2015-07						
DNVGL	RU	2043	RU-YACHTS	7	Ship classification	Maritime	6	3	Additional Class Notations	Navigation and manoeuvring	2015-07						
DNVGL	RU	2045	RU-YACHTS	7	Ship classification	Maritime	6	5	Additional Class Notations	Equipment and design features	2015-07						
DNVGL	RU	2047	RU-YACHTS	7	Ship classification	Maritime	6	6	Additional Class Notations	Cold climate	2015-07						
DNVGL	RU	2050	RU-YACHTS	7	Ship classification	Maritime	6	7	Additional Class Notations	Environmental protection and pollution control	2015-07						
DNVGL	RU	2056	RU-YACHTS	7	Ship classification	Maritime	6	8	Additional Class Notations	Living and working conditions	2015-07						
DNVGL	RU	2057	RU-YACHTS	7	Ship classification	Maritime	6	9	Additional Class Notations	Survey arrangements	2015-07						
DNVGL	RU	2062	RU-YACHTS	7	Ship classification	Maritime	6	10	Additional Class Notations	Sailing rigs	2015-07						
DNVGL	RU	2065	RU-YACHTS	7	Ship classification	Maritime	7	1	Fleet in service	Survey requirements	2015-07						
DNVGL	RU	2066	RU-YACHTS	7	Ship classification	Maritime	7	2	Fleet in service	Retroactive requirements	2015-07						
DNVGL	SE	1200	SE	9	Ship classification					Rules for Classification of Diving Systems				"DSS;#4"	DSS-105	ORS	"WP 8;#8"
DNVGL	SE	1206	SE	9	Offshore classification	Maritime				Classification based on Performance Criteria determined from Risk Assessment Methods	2015-11			"OSS;#5"	OSS-121	Offshore	"Offshore;#11"
DNVGL	SE	1207	SE	9	Offshore classification	Maritime				Verification for Compliance with Norwegian Shelf Regulations	2015-11			"OSS;#5"	OSS-201	Offshore	"Offshore;#11"
DNVGL	SE	1208	SE	9	Offshore classification	Maritime				Verification for Compliance with UK Shelf Regulations	2015-11			"OSS;#5"	OSS-202	Offshore	"Offshore;#11"
DNVGL	SE	1206	SE	9	Renewables certification	Energy				Wind Turbine Type Certification in accordance to IEC 61400-22	2015-12						
DNVGL	SE	1207	SE	9	Renewables certification	Energy				Wind Farm Project Certification in accordance to IEC 61400-22	2015-12						
DNVGL	SE	1208	SE	9	Renewables certification	Energy				Wind Turbine Type Certification	2015-12						
DNVGL	SE	1209	SE	9	Renewables certification	Energy				Wind Farm Project Certification	2015-12						
DNVGL	SE	1210	SE	9	Renewables certification	Energy				Certification of Condition Monitoring Systems	2015-12						
DNVGL	SE	1211	SE	9	Renewables certification	Energy				Tidal Power Plant Certification	2015-12						
DNVGL	SE	1212	SE	9	Renewables certification	Energy				Wave Power Plant Certification	2015-12						
DNVGL	SE	1213	SE	9	Renewables certification	Energy				Certification of Grid Code Compliance of Renewable Energy Systems	2015-12						
DNVGL	SE	1214	SE	9	Renewables certification	Energy				Certification of Training Systems	2015-12						
DNVGL	SE	1215	SE	9	Renewables certification	Energy				Certification of Fire Protection Systems for Wind Turbines	2015-12						
DNVGL	SE	1216	SE	9	Renewables certification	Energy				Certification of Service Providers for Wind Turbines	2015-12						
DNVGL	SE	1217	SE	9	Renewables certification	Energy				PV Power Plant Project Certification	2015-12						
DNVGL	SE	1218	SE	9	Renewables certification	Energy				Certification of Small Wind Turbines	2015-12						
DNVGL	SE	1219	SE	9	Renewables certification	Energy				Certification of Medium Wind Turbines	2015-12						
DNVGL	SE	1220	SE	9	Renewables certification	Energy				Risk Assessment of Offshore Wind Parks	2015-12						
DNVGL	ST	1201	ST	10	Ship classification	Maritime				Standard for Surface Diving Systems	2015-12			"DS;#6"	DS-E403	ORS	"WP 8;#8"
DNVGL	ST	1209	ST	10	Offshore classification	Maritime				OS-A101: Safety Principles and Arrangement	2015-11			"OS;#7"	OS-A101	Offshore	"Offshore;#11"
DNVGL	ST	1210	ST	10	Offshore classification	Maritime				OS-B101: Metallic Materials	2015-11			"OS;#7"	OS-B101	Offshore	"Offshore;#11"
DNVGL	ST	1211	ST	10	Offshore classification	Maritime				OS-J101: Design of Offshore Steel Structures, General (LRFD Method)	2015-11			"OS;#7"	OS-J101	Offshore	"Offshore;#11"
DNVGL	ST	1212	ST	10	Offshore classification	Maritime				OS-C102: Structural Design of Offshore Ships	2015-11			"OS;#7"	OS-C102	Offshore	"Offshore;#11"
DNVGL	ST	1213	ST	10	Offshore classification	Maritime				OS-C103: Structural Design of Column Stabilised Units (LRFD Method)	2015-11			"OS;#7"	OS-C103	Offshore	"Offshore;#11"
DNVGL	ST	1214	ST	10	Offshore classification	Maritime				OS-C104: Structural Design of Self-Elevating Units (LRFD Method)	2015-11			"OS;#7"	OS-C104	Offshore	"Offshore;#11"
DNVGL	ST	1215	ST	10	Offshore classification	Maritime				OS-C105: Structural Design of TLPs (LRFD Method)	2015-11			"OS;#7"	OS-C105	Offshore	"Offshore;#11"
DNVGL	ST	1216	ST	10	Offshore classification	Maritime				OS-C106: Structural Design of Deep Draught Floating Units (LRFD Method)	2015-11			"OS;#7"	OS-C106	Offshore	"Offshore;#11"
DNVGL	ST	1217	ST	10	Offshore classification	Maritime				OS-C201: Structural Design of Offshore Units (WSD Method)	2015-11			"OS;#7"	OS-C201	Offshore	"Offshore;#11"
DNVGL	ST	1218	ST	10	Offshore classification	Maritime				OS-C301: Stability and Watertight Integrity	2015-11			"OS;#7"	OS-C301	Offshore	"Offshore;#11"
DNVGL	ST	1219	ST	10	Offshore classification	Maritime				OS-C401: Fabrication and Testing of Offshore Structures	2015-11			"OS;#7"	OS-C401	Offshore	"Offshore;#11"
DNVGL	ST	1220	ST	10	Offshore classification	Maritime				OS-D101: Marine and Machinery Systems and Equipment	2015-11			"OS;#7"	OS-D101	Offshore	"Offshore;#11"
DNVGL	ST	1221	ST	10	Offshore classification	Maritime				OS-D201: Electrical Installations	2015-11			"OS;#7"	OS-D201	Offshore	"Offshore;#11"
DNVGL	ST	1222	ST	10	Offshore classification	Maritime				OS-D202: Instrumentation and Telecommunication Systems	2015-11			"OS;#7"	OS-D202	Offshore	"Offshore;#11"
DNVGL	ST	1223	ST	10	Offshore classification	Maritime				OS-D203: Integrated Software Dependent System (ISDS)	2015-11			"OS;#7"	OS-D203	Offshore	"Offshore;#11"
DNVGL	ST	1224	ST	10	Offshore classification	Maritime				OS-D301: Fire Protection	2015-11			"OS;#7"	OS-D301	Offshore	"Offshore;#11"
DNVGL	ST	1225	ST	10	Offshore classification	Maritime				OS-E101: Drilling Plant	2015-11			"OS;#7"	OS-E101	Offshore	"Offshore;#11"
DNVGL	ST	1226	ST	10	Offshore classification	Maritime				OS-E201: Hydrocarbon Production Plant	2015-11			"OS;#7"	OS-E201	Offshore	"Offshore;#11"
DNVGL	ST	1227	ST	10	Offshore classification	Maritime				OS-E301: Position Mooring	2015-11			"OS;#7"	OS-E301	Offshore	"Offshore;#11"
DNVGL	ST	1228	ST	10	Offshore classification	Maritime				OS-E302: Offshore Mooring Chain	2015-11			"OS;#7"	OS-E302	Offshore	"Offshore;#11"
DNVGL	ST	1229	ST	10	Offshore classification	Maritime				OS-E303: Offshore Mooring Fibre Ropes	2015-11			"OS;#7"	OS-E303	Offshore	"Offshore;#11"
DNVGL	ST	1230	ST	10	Offshore classification	Maritime				OS-E304: Offshore Mooring Steel Wire Ropes	2015-11			"OS;#7"	OS-E304	Offshore	"Offshore;#11"
